t,n,phi,convergence,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean beta,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median beta,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode beta,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp beta,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd beta, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.beta,ci.mu.M,ci.phi
17,100,0.24,1,0.015856395,0.827221166,-0.110009988,0.827221166,1.338693365,-0.099777294,-0.110009988,-0.099777294,0.249899541,0.009301796,-0.008551553,-0.049474431,-0.008120451,-0.028510308,-0.011488737,0.0025679,0.779014022,-0.126391216,0.779014022,1.286909958,-0.119621175,-0.126391216,-0.119621175,0.223436919,0.009265141,-0.00858037,-0.049316995,-0.008011929,-0.029110688,-0.012697154,-0.018436809,0.694561981,-0.157317484,0.694561981,1.190544763,-0.154161567,-0.157317484,-0.154161567,0.174345405,0.009027078,-0.011626068,-0.049281084,-0.008550737,-0.030817621,-0.015682845,0.953,0.953,0.97,0.953,0,0.997,0.97,0.997,0.893,0.865,0.948,0.846,0.308,0.84,0.934,0.976,0.981,0.987,0.981,0.003,0.998,0.987,0.998,0.962,0.915,0.971,0.905,0.356,0.883,0.953,0.959,0.973,0.942,0.968
33,100,0.24,1,0.018532341,0.798582984,-0.094868791,0.798582984,1.042137122,0.014526207,-0.094868791,0.014526207,0.142143536,0.005016761,-0.008539588,-0.038984573,-0.008111727,-0.019750515,-0.004849043,0.005426817,0.7543579,-0.111013761,0.7543579,1.003828206,-0.005459775,-0.111013761,-0.005459775,0.122195413,0.004997161,-0.008081417,-0.038866278,-0.007888917,-0.020351222,-0.00544245,-0.014209009,0.668512159,-0.140253021,0.668512159,0.934268262,-0.043220058,-0.140253021,-0.043220058,0.086248083,0.004856341,0.000779772,-0.038689584,-0.008207328,-0.022183934,-0.005777976,0.944329897,0.958762887,0.974226804,0.958762887,0.001030928,0.988659794,0.974226804,0.988659794,0.931958763,0.796907216,0.94742268,0.798969072,0.22371134,0.765979381,0.942268041,0.971134021,0.987628866,0.984536082,0.987628866,0.027835052,0.998969072,0.984536082,0.998969072,0.983505155,0.855670103,0.973195876,0.85257732,0.249484536,0.824742268,0.969072165,0.960824742,0.959793814,0.944329897,0.965979381
65,100,0.24,1,0.016730738,0.785576562,-0.096154205,0.785576562,0.871172151,0.078852695,-0.096154205,0.078852695,0.077594407,0.002290804,-0.00922685,-0.02072802,-0.009956034,-0.014343292,-0.001821096,0.003404959,0.741792876,-0.111731112,0.741792876,0.840208704,0.059206639,-0.111731112,0.059206639,0.061152325,0.002245973,-0.008568257,-0.020707865,-0.009778889,-0.014790962,-0.001998222,-0.023305547,0.652978013,-0.141113752,0.652978013,0.78084147,0.022283616,-0.141113752,0.022283616,0.032783662,0.001933971,0.006676565,-0.020771969,-0.014071501,-0.015703758,-0.000903199,0.946391753,0.968041237,0.967010309,0.968041237,0.016494845,0.982474227,0.967010309,0.982474227,0.951546392,0.706185567,0.943298969,0.730927835,0.155670103,0.65257732,0.950515464,0.974226804,0.989690722,0.984536082,0.989690722,0.06185567,0.996907216,0.984536082,0.996907216,0.982474227,0.774226804,0.974226804,0.801030928,0.17628866,0.712371134,0.970103093,0.970103093,0.975257732,0.940206186,0.967010309
17,200,0.24,1,0.015230626,0.850323061,-0.111084729,0.850323061,0.910041875,-0.046460527,-0.111084729,-0.046460527,0.084892279,0.007778493,-0.005728677,-0.052683358,-0.004140445,-0.027303329,-0.009460378,0.008121507,0.834619313,-0.120628738,0.834619313,0.886480283,-0.054253838,-0.120628738,-0.054253838,0.072656255,0.00775408,-0.005019645,-0.052546393,-0.004070135,-0.027566536,-0.010077827,-0.005822265,0.81701716,-0.138500218,0.81701716,0.842827283,-0.068280102,-0.138500218,-0.068280102,0.049893552,0.007972795,-0.000167169,-0.052486793,-0.004308135,-0.02792879,-0.012128124,0.94375,0.95625,0.953125,0.95625,0.002083333,0.988541667,0.953125,0.988541667,0.95625,0.86875,0.963541667,0.827083333,0.292708333,0.827083333,0.91875,0.978125,0.979166667,0.975,0.979166667,0.044791667,0.992708333,0.975,0.992708333,0.984375,0.913541667,0.982291667,0.876041667,0.325,0.883333333,0.951041667,0.965625,0.952083333,0.960416667,0.960416667
33,200,0.24,1,0.015373322,0.802786942,-0.108973856,0.802786942,0.723620751,0.05032738,-0.108973856,0.05032738,0.011425469,0.003694042,-0.007441868,-0.038619585,-0.005759924,-0.017981091,-0.003837087,0.008276507,0.786421142,-0.117648843,0.786421142,0.706887366,0.04045659,-0.117648843,0.04045659,0.001892277,0.003701767,-0.007161977,-0.038608483,-0.005631095,-0.018257361,-0.00425167,-0.005754879,0.7504219,-0.133854262,0.7504219,0.675642586,0.019928005,-0.133854262,0.019928005,-0.017357788,0.003737045,-0.008426721,-0.038791861,-0.005881545,-0.018330172,-0.006407834,0.95,0.955102041,0.956122449,0.955102041,0.014285714,0.983673469,0.956122449,0.983673469,0.956122449,0.813265306,0.957142857,0.803061224,0.213265306,0.741836735,0.941836735,0.97244898,0.97755102,0.979591837,0.97755102,0.055102041,0.991836735,0.979591837,0.991836735,0.979591837,0.866326531,0.978571429,0.85,0.241836735,0.816326531,0.969387755,0.965306122,0.944897959,0.952040816,0.962244898
65,200,0.24,1,0.015526391,0.827901277,-0.119023168,0.827901277,0.607438803,0.122590345,-0.119023168,0.122590345,-0.027950838,0.002795019,-0.006043823,-0.023104648,-0.004649108,-0.011801335,-0.001204817,0.00834883,0.813555693,-0.127723462,0.813555693,0.594534569,0.111978011,-0.127723462,0.111978011,-0.036111856,0.00278622,-0.005970771,-0.023106861,-0.004642985,-0.012018795,-0.001383802,-0.006751081,0.779646508,-0.140022731,0.779646508,0.569749603,0.088719027,-0.140022731,0.088719027,-0.051863819,0.002944799,-0.008605262,-0.023042016,-0.005481177,-0.012243479,-0.00228317,0.951546392,0.943298969,0.950515464,0.943298969,0.027835052,0.968041237,0.950515464,0.968041237,0.932989691,0.754639175,0.959793814,0.702061856,0.149484536,0.637113402,0.942268041,0.97628866,0.970103093,0.964948454,0.970103093,0.06185567,0.987628866,0.964948454,0.987628866,0.96185567,0.808247423,0.977319588,0.768041237,0.172164948,0.696907216,0.970103093,0.962886598,0.95257732,0.958762887,0.963917526
17,500,0.24,1,0.002019561,0.770854147,-0.137056177,0.770854147,0.609578071,0.044385382,-0.137056177,0.044385382,-0.025370477,0.005426654,-0.003163303,-0.054344558,-0.002487666,-0.020553103,-0.006419381,-0.000592661,0.76480862,-0.142371835,0.76480862,0.60067034,0.040134836,-0.142371835,0.040134836,-0.030063416,0.005446314,-0.003920794,-0.054311918,-0.002544336,-0.020402402,-0.006557575,-0.007094117,0.757764282,-0.152234798,0.757764282,0.584130828,0.033006113,-0.152234798,0.033006113,-0.039800689,0.005614785,-0.008671465,-0.054245728,-0.001132408,-0.019563683,-0.006738656,0.959183673,0.928571429,0.953061224,0.928571429,0.016326531,0.967346939,0.953061224,0.967346939,0.956122449,0.832653061,0.953061224,0.725510204,0.252040816,0.814285714,0.934693878,0.981632653,0.959183673,0.976530612,0.959183673,0.048979592,0.989795918,0.976530612,0.989795918,0.976530612,0.885714286,0.979591837,0.797959184,0.286734694,0.87755102,0.962244898,0.939795918,0.880612245,0.952040816,0.960204082
33,500,0.24,1,0.002342611,0.777166712,-0.115905631,0.777166712,0.490553226,0.109931826,-0.115905631,0.109931826,-0.068341914,0.003134883,-0.004257328,-0.040479597,-0.003592103,-0.016067379,-0.00242317,-0.000149819,0.772604465,-0.12082603,0.772604465,0.484191454,0.105743994,-0.12082603,0.105743994,-0.071896296,0.00312254,-0.005144012,-0.040474736,-0.003702028,-0.016090127,-0.002521516,-0.00706465,0.766353264,-0.129957667,0.766353264,0.472064254,0.098479363,-0.129957667,0.098479363,-0.079435268,0.002906269,-0.011694744,-0.04040884,-0.004416074,-0.01615195,-0.003266452,0.956565657,0.897979798,0.928282828,0.897979798,0.016161616,0.936363636,0.928282828,0.936363636,0.876767677,0.811111111,0.948484848,0.685858586,0.188888889,0.721212121,0.927272727,0.977777778,0.94040404,0.955555556,0.94040404,0.042424242,0.971717172,0.955555556,0.971717172,0.919191919,0.85959596,0.973737374,0.749494949,0.221212121,0.790909091,0.963636364,0.952525253,0.897979798,0.947474747,0.962626263
65,500,0.24,1,0.002352658,0.784537821,-0.117818652,0.784537821,0.441177414,0.15507851,-0.117818652,0.15507851,-0.08501282,0.001821803,-0.004069405,-0.026710985,-0.00333286,-0.010296479,-0.001080185,-0.000114991,0.78134231,-0.122177267,0.78134231,0.436297024,0.150792387,-0.122177267,0.150792387,-0.087915056,0.001816787,-0.005074019,-0.026702891,-0.003417766,-0.010297688,-0.001165839,-0.008065621,0.780884768,-0.126779058,0.780884768,0.426784634,0.14339501,-0.126779058,0.14339501,-0.094408789,0.001656578,-0.010886467,-0.02666724,-0.003600151,-0.010355346,-0.002164629,0.955555556,0.884848485,0.934343434,0.884848485,0.005050505,0.854545455,0.934343434,0.854545455,0.752525253,0.724242424,0.950505051,0.637373737,0.129292929,0.636363636,0.943434343,0.975757576,0.934343434,0.964646465,0.934343434,0.019191919,0.92020202,0.964646465,0.92020202,0.806060606,0.786868687,0.97979798,0.712121212,0.148484848,0.684848485,0.966666667,0.956565657,0.927272727,0.950505051,0.952525253
17,1000,0.24,1,-0.000201676,0.805407239,-0.112931434,0.805407239,0.479529369,0.095891508,-0.112931434,0.095891508,-0.076854982,0.003157448,-0.002485808,-0.056031675,-0.001777259,-0.0135386,-0.003939551,-0.001589726,0.802295649,-0.11567107,0.802295649,0.475342808,0.094015925,-0.11567107,0.094015925,-0.079463965,0.003181294,-0.002210248,-0.055956512,-0.001630356,-0.013553246,-0.004053875,-0.006072135,0.794925616,-0.122451996,0.794925616,0.467016193,0.093410948,-0.122451996,0.093410948,-0.084623359,0.003016831,-0.000840798,-0.055827316,-0.000284984,-0.01332628,-0.004154776,0.959,0.842,0.92,0.842,0.006,0.925,0.92,0.925,0.843,0.869,0.951,0.616,0.268,0.822,0.928,0.977,0.902,0.964,0.902,0.019,0.958,0.964,0.958,0.89,0.918,0.982,0.702,0.296,0.886,0.959,0.952,0.801,0.955,0.955
33,1000,0.24,1,4.30E-05,0.820623384,-0.115567026,0.820623384,0.414584165,0.141335823,-0.115567026,0.141335823,-0.102931906,0.001753874,-0.001895532,-0.038180919,-0.00122195,-0.01156048,-0.001407752,-0.001403054,0.819262453,-0.117938116,0.819262453,0.411622005,0.139637481,-0.117938116,0.139637481,-0.10473149,0.001736735,-0.002046774,-0.038137066,-0.001232832,-0.011522791,-0.001459523,-0.006784984,0.817883201,-0.120492925,0.817883201,0.406531701,0.138756474,-0.120492925,0.138756474,-0.10767462,0.001684978,-0.007248676,-0.038037298,-0.001185016,-0.011393354,-0.001524372,0.963,0.798,0.912,0.798,0.002,0.805,0.912,0.805,0.578,0.814,0.955,0.609,0.2,0.732,0.939,0.98,0.865,0.946,0.865,0.004,0.89,0.946,0.89,0.653,0.879,0.976,0.684,0.222,0.793,0.966,0.962,0.84,0.956,0.951
